,date,type
809,2017-11-06,holiday
810,2017-11-11,holiday
811,2017-11-12,holiday
812,2017-11-18,holiday
813,2017-11-19,holiday
814,2017-11-25,holiday
815,2017-11-26,holiday
816,2017-12-02,holiday
817,2017-12-03,holiday
818,2017-12-09,holiday
819,2017-12-10,holiday
820,2017-12-16,holiday
821,2017-12-17,holiday
822,2017-12-23,holiday
823,2017-12-24,holiday
824,2017-12-30,holiday
825,2017-12-31,holiday
826,2018-01-01,holiday
827,2018-01-02,holiday
828,2018-01-03,holiday
829,2018-01-04,holiday
830,2018-01-05,holiday
831,2018-01-06,holiday
832,2018-01-07,holiday
833,2018-01-08,holiday
834,2018-01-13,holiday
835,2018-01-14,holiday
836,2018-01-20,holiday
837,2018-01-21,holiday
838,2018-01-27,holiday
839,2018-01-28,holiday
840,2018-02-03,holiday
841,2018-02-04,holiday
842,2018-02-10,holiday
843,2018-02-11,holiday
844,2018-02-17,holiday
845,2018-02-18,holiday
846,2018-02-23,holiday
847,2018-02-24,holiday
848,2018-02-25,holiday
849,2018-03-03,holiday
850,2018-03-04,holiday
851,2018-03-08,holiday
852,2018-03-09,holiday
853,2018-03-10,holiday
854,2018-03-11,holiday
855,2018-03-17,holiday
856,2018-03-18,holiday
857,2018-03-24,holiday
858,2018-03-25,holiday
859,2018-03-31,holiday
860,2018-04-01,holiday
861,2018-04-07,holiday
862,2018-04-08,holiday
863,2018-04-14,holiday
864,2018-04-15,holiday
865,2018-04-21,holiday
866,2018-04-22,holiday
867,2018-04-29,holiday
868,2018-04-30,holiday
869,2018-05-01,holiday
870,2018-05-02,holiday
871,2018-05-05,holiday
872,2018-05-06,holiday
873,2018-05-09,holiday
874,2018-05-12,holiday
875,2018-05-13,holiday
876,2018-05-19,holiday
877,2018-05-20,holiday
878,2018-05-26,holiday
879,2018-05-27,holiday
880,2018-06-02,holiday
881,2018-06-03,holiday
882,2018-06-10,holiday
883,2018-06-11,holiday
884,2018-06-12,holiday
885,2018-06-16,holiday
886,2018-06-17,holiday
887,2018-06-23,holiday
888,2018-06-24,holiday
889,2018-06-30,holiday
890,2018-07-01,holiday
891,2018-07-07,holiday
892,2018-07-08,holiday
893,2018-07-14,holiday
894,2018-07-15,holiday
895,2018-07-21,holiday
896,2018-07-22,holiday
897,2018-07-28,holiday
898,2018-07-29,holiday
899,2018-08-04,holiday
900,2018-08-05,holiday
901,2018-08-11,holiday
902,2018-08-12,holiday
903,2018-08-18,holiday
904,2018-08-19,holiday
905,2018-08-25,holiday
906,2018-08-26,holiday
907,2018-09-01,holiday
908,2018-09-02,holiday
909,2018-09-08,holiday
910,2018-09-09,holiday
911,2018-09-15,holiday
912,2018-09-16,holiday
913,2018-09-22,holiday
914,2018-09-23,holiday
915,2018-09-29,holiday
916,2018-09-30,holiday
917,2018-10-06,holiday
918,2018-10-07,holiday
919,2018-10-13,holiday
920,2018-10-14,holiday
